Pøehled operací pro portfolio"základní OÚ: xxxxx"
Vytvoøeno: 20.02.2026 18:22:21
Období: 1.1.2025 - 31.12.2025













Datum obchodu;Smìr;Symbol;Cena;Poèet;Mìna;Objem v CZK;Poplatky v CZK;Objem v USD;Poplatky v USD;Objem v EUR;Poplatky v EUR;Text FIO;
21.07.2025 10:03;Nákup;P911;41,60;2,00;EUR;;;;;-93,15;9,95;Nákup;
15.07.2025 00:00;;O;1,00;-15,98;USD;;;-15,98;0,00;;;O - Daò z divid. zaplacená v USA;
15.07.2025 00:00;;O;1,00;106,52;USD;;;106,52;0,00;;;O - Dividenda - USA;
07.07.2025 00:00;;VGWL;1,00;58,16;EUR;;;;;58,16;0,00;VGWL - Distribuce výnosu rùstového fondu;
30.06.2025 00:00;;SCHB;1,00;-0,46;USD;;;-0,46;0,00;;;SCHB - Daò z divid. zaplacená v USA;
30.06.2025 00:00;;SCHB;1,00;3,09;USD;;;3,09;0,00;;;SCHB - Dividenda - USA;
30.06.2025 00:00;;PEP;1,00;-3,84;USD;;;-3,84;0,00;;;PEP - Daò z divid. zaplacená v USA;
30.06.2025 00:00;;PEP;1,00;25,61;USD;;;25,61;0,00;;;PEP - Dividenda - USA;
27.06.2025 00:00;;IUSA;1,00;25,19;EUR;;;;;25,19;0,00;IUSA - Distribuce výnosu rùstového fondu;
26.06.2025 00:00;;META;1,00;-0,79;USD;;;-0,79;0,00;;;META - Daò z divid. zaplacená v USA;
26.06.2025 00:00;;META;1,00;5,25;USD;;;5,25;0,00;;;META - Dividenda - USA;
25.06.2025 00:00;;MDYG;1,00;-0,62;USD;;;-0,62;0,00;;;MDYG - Daò z divid. zaplacená v USA;
25.06.2025 00:00;;MDYG;1,00;4,15;USD;;;4,15;0,00;;;MDYG - Dividenda - USA;
16.06.2025 00:00;;GOOGL;1,00;-1,29;USD;;;-1,29;0,00;;;GOOGL - Daò z divid. zaplacená v USA;
16.06.2025 00:00;;GOOGL;1,00;8,61;USD;;;8,61;0,00;;;GOOGL - Dividenda - USA;
16.06.2025 00:00;;MSF;1,00;14,55;EUR;;;;;14,55;0,00;MSF - Dividenda SRN - po zdanìní;
13.06.2025 00:00;;O;1,00;-15,95;USD;;;-15,95;0,00;;;O - Daò z divid. zaplacená v USA;
13.06.2025 00:00;;O;1,00;106,33;USD;;;106,33;0,00;;;O - Dividenda - USA;
27.05.2025 16:09;Nákup;PEP;129,4593333;15,00;USD;;;-1 949,84;7,95;;;Nákup;
27.05.2025 09:51;Nákup;P911;42,86;7,00;EUR;;;;;-309,97;9,95;Nákup;
26.05.2025 00:00;;P911;1,00;-20,68;EUR;;;;;-20,68;0,00;P911 - Daò z dividend zaplacená v SRN;
26.05.2025 00:00;;P911;1,00;78,42;EUR;;;;;78,42;0,00;P911 - Dividenda SRN;
26.05.2025 00:00;;P911;1,00;143,34;EUR;;;;;143,34;0,00;P911 - Dividenda SRN;
21.05.2025 00:00;;VOW3;1,00;-28,52;EUR;;;;;-28,52;0,00;VOW3 - Daò z dividend zaplacená v SRN;
21.05.2025 00:00;;VOW3;1,00;108,12;EUR;;;;;108,12;0,00;VOW3 - Dividenda SRN;
16.05.2025 11:40;Nákup;P911;46,97;33,00;EUR;;;;;-1 559,96;9,95;Nákup;
15.05.2025 00:00;;O;1,00;-15,95;USD;;;-15,95;0,00;;;O - Daò z divid. zaplacená v USA;
15.05.2025 00:00;;O;1,00;106,33;USD;;;106,33;0,00;;;O - Dividenda - USA;
13.05.2025 18:41;Nákup;PEP;130,14;3,00;USD;;;-398,37;7,95;;;Nákup;
12.05.2025 00:00;;BTI;1,00;-2,68;USD;;;-2,68;0,00;;;BTI - ADR Fee;
12.05.2025 00:00;;BTI;1,00;215,00;USD;;;215,00;0,00;;;BTI - Dividenda - USA;
08.05.2025 20:26;Pøevod mezi mìnami;USD;22,5475972;1 703,46;CZK;-38 408,93;0,00;;;;;Nákup;
08.05.2025 20:26;Nákup;GOOGL;154,86;11,00;USD;;;-1 703,46;0,00;;;Nákup;
08.05.2025 20:26;Pøevod mezi mìnami;USD;22,5475708;162,81;CZK;-3 670,97;0,00;;;;;Nákup;
08.05.2025 20:26;Nákup;GOOGL;154,86;1,00;USD;;;-162,81;7,95;;;Nákup;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;1,00;CZK;1 170,89;4,11;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;1,00;CZK;1 170,89;4,11;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;1,00;CZK;1 170,89;4,11;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;1,00;CZK;1 170,88;4,12;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;1,00;CZK;1 170,89;4,11;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;1,00;CZK;1 170,89;4,11;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;2,00;CZK;2 341,77;8,23;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;2,00;CZK;2 341,78;8,22;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;2,00;CZK;2 341,77;8,23;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;3,00;CZK;3 512,67;12,33;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;3,00;CZK;3 512,66;12,34;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;5,00;CZK;5 854,44;20,56;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;9,00;CZK;10 557,42;17,58;;;;;Prodej;
05.05.2025 09:00;Prodej;BAACEZ;1 175,00;5,00;CZK;5 825,00;50,00;;;;;Prodej;
05.05.2025 00:00;;STLA;1,00;-15,09;USD;;;-15,09;0,00;;;STLA - Daò z divid. zaplacená v USA;
05.05.2025 00:00;;STLA;1,00;100,57;USD;;;100,57;0,00;;;STLA - Dividenda - USA;
15.04.2025 00:00;;O;1,00;-15,95;USD;;;-15,95;0,00;;;O - Daò z divid. zaplacená v USA;
15.04.2025 00:00;;O;1,00;106,33;USD;;;106,33;0,00;;;O - Dividenda - USA;
04.04.2025 15:39;Nákup;P911;43,69;4,00;EUR;;;;;-184,71;9,95;Nákup;
04.04.2025 15:37;Nákup;SXR8;504,80;3,00;EUR;;;;;-1 524,35;9,95;Nákup;
04.04.2025 12:10;Pøevod mezi mìnami;EUR;25,8420038;549,95;CZK;-14 211,81;0,00;;;;;Nákup;
04.04.2025 12:10;Nákup;P911;45,00;12,00;EUR;;;;;-549,95;9,95;Nákup;
04.04.2025 00:00;;VGWL;1,00;33,83;EUR;;;;;33,83;0,00;VGWL - Distribuce výnosu rùstového fondu;
02.04.2025 10:15;Prodej;BAACEZ;1 157,00;13,00;CZK;14 978,36;62,64;;;;;Prodej;
31.03.2025 18:41;Nákup;GOOGL;153,65;11,00;USD;;;-1 698,10;7,95;;;Nákup;
31.03.2025 00:00;;SCHB;1,00;-0,43;USD;;;-0,43;0,00;;;SCHB - Daò z divid. zaplacená v USA;
31.03.2025 00:00;;SCHB;1,00;2,86;USD;;;2,86;0,00;;;SCHB - Dividenda - USA;
28.03.2025 00:00;;IUSA;1,00;26,34;EUR;;;;;26,34;0,00;IUSA - Distribuce výnosu rùstového fondu;
26.03.2025 00:00;;MDYG;1,00;-0,49;USD;;;-0,49;0,00;;;MDYG - Daò z divid. zaplacená v USA;
26.03.2025 00:00;;MDYG;1,00;3,26;USD;;;3,26;0,00;;;MDYG - Dividenda - USA;
26.03.2025 00:00;;META;1,00;-0,79;USD;;;-0,79;0,00;;;META - Daò z divid. zaplacená v USA;
26.03.2025 00:00;;META;1,00;5,25;USD;;;5,25;0,00;;;META - Dividenda - USA;
25.03.2025 16:15;Nákup;SCHB;22,2984091;44,00;USD;;;-989,08;7,95;;;Nákup;
25.03.2025 16:11;Prodej;NIO;4,415;220,00;USD;;;961,29;10,01;;;Prodej;
20.03.2025 16:12;Nákup;GOOGL;164,2881818;11,00;USD;;;-1 815,12;7,95;;;Nákup;
17.03.2025 00:00;;GOOGL;1,00;-0,21;USD;;;-0,21;0,00;;;GOOGL - Daò z divid. zaplacená v USA;
17.03.2025 00:00;;GOOGL;1,00;1,40;USD;;;1,40;0,00;;;GOOGL - Dividenda - USA;
17.03.2025 00:00;;MSF;1,00;15,57;EUR;;;;;15,57;0,00;MSF - Dividenda SRN - po zdanìní;
14.03.2025 00:00;;O;1,00;-15,92;USD;;;-15,92;0,00;;;O - Daò z divid. zaplacená v USA;
14.03.2025 00:00;;O;1,00;106,13;USD;;;106,13;0,00;;;O - Dividenda - USA;
13.03.2025 19:08;Nákup;AMD;98,1991429;35,00;USD;;;-3 444,92;7,95;;;Nákup;
13.03.2025 19:05;Prodej;CVS;65,3784615;52,00;USD;;;3 391,64;8,04;;;Prodej;
07.03.2025 00:00;;O;1,00;2,96;USD;;;2,96;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;2,96;USD;;;2,96;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;3,98;USD;;;3,98;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;2,96;USD;;;2,96;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;3,97;USD;;;3,97;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;4,76;USD;;;4,76;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;3,98;USD;;;3,98;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;3,99;USD;;;3,99;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;3,99;USD;;;3,99;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;3,98;USD;;;3,98;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;3,89;USD;;;3,89;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;O;1,00;3,51;USD;;;3,51;0,00;;;O - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;ONL;1,00;1,44;USD;;;1,44;0,00;;;ONL - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;ONL;1,00;0,35;USD;;;0,35;0,00;;;ONL - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;ONL;1,00;0,34;USD;;;0,34;0,00;;;ONL - Refundable U.S. Fed Tax Reclassified By Issuer;
07.03.2025 00:00;;ONL;1,00;0,35;USD;;;0,35;0,00;;;ONL - Refundable U.S. Fed Tax Reclassified By Issuer;
14.02.2025 15:49;Nákup;GOOGL;185,3985714;7,00;USD;;;-1 305,74;7,95;;;Nákup;
14.02.2025 00:00;;O;1,00;-15,68;USD;;;-15,68;0,00;;;O - Daò z divid. zaplacená v USA;
14.02.2025 00:00;;O;1,00;104,54;USD;;;104,54;0,00;;;O - Dividenda - USA;
